#Activity	cycling  
#ActivityID	9 
#Date 10-10-12-50
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7868	-940	13548	-115	99	-108	-15048	-1076	-6308	383	-53	-194	-16028	3180	1824	64	-198	-39	-8100	5140	13672	93	-71	-185	-16344	672	-3456	179	-42	-29	-16412	-1468	896	342	-246	12	131	129	9
-7916	-960	13628	-142	111	-174	-15192	-872	-6196	298	-109	-187	-16136	3452	1708	19	-160	-17	-8088	5140	13672	100	-139	-151	-16344	876	-3376	78	-1	12	-16256	-1420	688	370	-255	29	124	120	9
-7816	-980	13504	-346	136	-130	-15032	-984	-6064	93	-181	-235	-16088	3208	1628	-226	-309	42	-8092	5164	13740	94	-72	-172	-16276	752	-3556	60	33	37	-16248	-1564	304	440	-289	54	126	131	9
-7908	-944	13504	-306	153	-133	-15008	-1208	-6404	112	-165	-236	-16016	2932	1896	-190	-252	24	-8052	5136	13604	90	-83	-136	-16336	880	-3940	18	-22	23	-16196	-1564	36	273	-187	6	128	124	9
-7892	-884	13584	-233	154	-205	-15160	-936	-6132	-14	-184	-212	-16112	2856	2016	-89	-224	37	-8052	5148	13656	112	-114	-140	-16384	828	-3776	212	-155	46	-16272	-1780	156	234	-73	-42	124	127	9
-7892	-1076	13636	-233	193	-286	-15224	-1212	-6000	-203	-210	-166	-16196	2796	1856	-88	-183	49	-8064	5164	13600	113	-125	-176	-16348	692	-3812	221	-234	37	-16388	-1676	676	234	-4	-69	124	125	9
-7964	-1112	13472	-191	180	-150	-15000	-1160	-6124	242	-210	-168	-15952	2856	2004	-90	-313	-40	-8084	5092	13612	174	-62	-156	-16412	676	-3408	324	-219	61	-16212	-1268	808	284	-17	-25	124	127	9
-7884	-1040	13448	-178	183	-190	-15088	-1168	-6088	171	-147	-132	-16068	2856	1780	-25	-223	2	-8136	5152	13712	125	-96	-128	-16216	764	-3216	290	-164	100	-16368	-1204	1296	393	-207	21	124	118	9
-7816	-1104	13528	-218	147	-201	-15120	-1268	-6212	177	-174	-52	-16092	2872	1840	30	-259	1	-7980	5268	13648	127	-76	-133	-16228	892	-3400	-79	19	114	-16248	-1308	408	476	-177	48	128	125	9
-7972	-1000	13564	-213	111	-177	-15028	-1140	-6240	402	-211	-85	-15968	2868	1792	-8	-265	20	-8140	5292	13552	119	-134	-140	-16408	892	-4076	-216	-42	65	-16184	-2020	-236	461	-118	93	128	131	9
