#Activity	walking 
#ActivityID	1 
#Date 08-20-12-46
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-6728	-6336	13164	929	735	2801	-15648	-248	2012	-4106	5607	-1195	-15992	-328	3084	-1488	9023	-1013	-12324	6088	18344	13384	-31655	27868	-14580	832	-7460	-4533	-32768	-9942	-7980	2532	-8924	1182	-3719	-3018	129	122	1
-7072	-6800	12736	958	538	3073	-15652	-2396	2512	-4402	6939	-1461	-14840	-752	4664	-1052	9198	-2904	-17156	8664	22480	13583	-32439	29458	-17444	1680	-8648	-3174	-32768	-12357	-6992	3848	-10004	3118	-954	-1339	126	125	1
-7072	-7248	12616	911	-122	3717	-16116	-2824	2280	-1320	7886	-1712	-16564	-1604	5500	1960	9792	-2554	-23216	13232	27128	11893	-32768	32113	-22912	4076	-10004	-5008	-32768	-15221	-5908	4724	-9928	6129	3453	354	124	128	1
-6904	-6860	12840	847	-475	4449	-15972	-1548	892	64	8854	-2100	-17920	-4028	-528	-3376	4587	-884	-30468	13716	28956	8268	-32768	32767	-28688	3088	-9924	-2966	-32768	-16936	-5076	4032	-9640	6524	4377	614	85	129	1
-7288	-6468	13080	748	-206	5409	-17508	-1356	-180	-196	9483	-2191	-16732	-1560	-2192	-2340	4322	-1172	-32768	5328	25704	7730	-32768	30691	-32256	8540	-12872	859	-32768	-16453	-9668	5440	1248	-3223	4602	5222	127	129	1
-7404	-6708	13056	212	361	6328	-17684	-1772	-1092	-485	9924	-2336	-15096	-1836	-620	-2194	7237	-1227	-32768	-3960	19176	8549	-30737	21496	-32372	6704	-15892	-3425	-32768	-14646	-23052	4388	21040	-1154	-12416	5846	128	129	1
-7556	-5812	13700	-386	1759	6960	-16956	-1560	-1136	-1186	10774	-2518	-14992	-692	-892	-3949	6749	-997	-32768	-18384	4816	8734	-25315	12921	-18720	5620	-21188	8449	-27185	-10416	-31484	176	20508	-8368	-7170	555	136	135	1
-7548	-6712	13908	937	5946	7275	-18828	-1280	-1120	-947	11513	-1875	-17432	-1032	-664	-3238	6210	-706	-32768	-31628	-13980	8065	-21604	-2058	-3728	7508	-22044	17821	-11925	-678	-16660	-9280	32767	-18585	7620	4820	132	127	1
-8044	-5020	16340	246	8138	7390	-18936	300	-2204	-2210	12568	-2202	-17256	-3444	2096	-3108	7682	650	-32768	-30920	-20080	11035	-7198	-13847	-2596	13096	-20904	7314	6946	4152	-24044	-29396	24768	-11487	8940	-2990	130	121	1
-7860	-5200	14776	1113	11916	8196	-19700	-1892	-1180	598	14261	-2249	-18924	-3240	840	-1304	6693	1732	-32768	-2056	-4588	-3803	4435	-17461	-12152	10024	-19980	-4100	19241	7075	-15780	-15452	8144	-2594	2499	-9505	128	109	1
-8448	-8076	14332	3331	14823	9540	-20964	-312	176	-295	15827	-2339	-19468	-1652	2308	-2926	4846	2264	-18232	13772	10876	-12000	11408	-9329	-20448	1696	-4464	-592	22674	9355	-11576	-6752	-7352	8677	2471	-3562	128	115	1
-9552	-7640	14516	6458	16895	13120	-22732	0	968	-3198	17024	-2458	-20492	1556	6684	-5498	2863	3083	32767	28856	32767	-3644	17458	4399	-21476	200	1156	-683	21881	8868	4656	-1472	-14476	4516	3715	-300	132	119	1
-10384	-9368	15852	9227	20204	16653	-25488	-420	3436	-6084	19136	-2757	-22924	1588	12488	-6410	-1480	4755	-15468	-4500	10116	-14732	32767	-18508	-22556	8852	-15692	-32768	12348	10577	-26908	13380	280	-11976	5808	12432	138	128	1
-12932	-10560	15984	13115	27801	23152	-31836	4	7988	-8829	21186	-2396	-25256	1364	18268	1408	-9443	6468	-32768	31024	32767	-14988	6059	-8010	-24764	6012	-8376	-8621	14538	6807	-32768	6032	8280	-27640	2100	7710	136	169	1
-13600	-15504	18372	17852	32767	32721	-32008	1248	12592	-13341	22058	-1981	-25272	6864	12804	-4109	-8388	8902	-2172	12036	8760	-8221	5853	-8093	-18640	1332	-3192	-3970	12716	10378	-15832	-16080	-4880	-2255	20858	8567	129	131	1
-16448	-13924	15620	16945	32767	32767	-31488	1152	12952	-13906	22098	-1890	-21532	4148	6212	-12512	-10374	8403	-12304	5532	13648	-6162	2902	-6475	-12012	4188	-4432	9375	9790	8054	1228	1444	-8824	29039	18733	18552	128	122	1
-27856	776	30200	-2462	32767	32767	-24880	-1060	3932	-19999	23721	-2547	-20924	-1984	2880	-21429	-14622	8223	-8632	7784	14940	-6173	493	-7380	-16900	7020	-2020	15744	7237	7023	-13768	20872	-15504	15249	3636	7576	127	118	1
-29508	-20836	25972	-5102	21362	32767	-23576	-13872	-128	-17387	19876	983	-23440	-5740	-9440	-25277	-13916	5570	-10648	7600	14280	-2975	593	-4793	-17776	4776	-5652	8692	7013	4706	-23048	9592	-2524	-14039	8695	6266	124	117	1
-25368	-22104	22268	-5147	3637	32767	-19196	-8284	-1668	-4203	13366	-1877	-23816	-4364	-10336	-15776	-15256	-1841	-8196	4428	14140	-1280	1423	-819	-17096	3508	-4208	418	7116	3690	-16792	-5460	-5332	834	12279	5583	116	122	1
-11116	-30660	13064	1801	-8262	22613	-14140	-4200	-7708	-4926	9935	-1793	-22888	-1024	-8336	-1500	-18221	-4133	-8392	6000	13348	-380	1839	-444	-16680	2652	-2688	112	5521	3119	-11344	-1840	-4088	4886	11460	413	128	141	1
-6748	-32768	11988	-3280	-16447	-3376	-11032	-3900	-2248	-11197	7189	2081	-22916	-2468	-5252	3541	-17929	-2791	-8496	7716	12724	190	1799	-915	-16796	2504	-2432	1094	5234	3156	-16836	6324	-2144	9604	11447	2538	131	151	1
1132	-19620	-936	2077	-11576	-14631	-11664	-1612	2524	-1820	-153	1534	-21624	-4092	-4296	2829	-17915	-4550	-8584	7628	12664	8	1395	-1754	-16556	5452	-1280	11548	3089	2881	-18024	5624	-2808	9932	13006	5841	126	131	1
824	-12632	956	-682	-6930	-19338	-9580	-4472	280	6255	-7627	1403	-18348	-5152	-5212	6500	-16858	-5565	-8168	6916	13036	-9	1365	-1788	-17164	4640	-1964	6262	2621	2063	-16976	2648	-3728	8792	14087	7853	135	119	1
-5000	-14240	7320	-6804	-7266	-24352	-9952	-5572	-1004	14681	-13976	1295	-18472	-4276	-5440	9671	-16217	-4757	-8244	5772	13116	643	1703	-1362	-16008	1796	-1556	6988	2639	1473	-14588	336	-872	9413	11968	5325	136	110	1
-8208	-15928	10636	-8732	-13235	-30622	-10496	-4384	-792	17745	-18541	2033	-17540	-3792	-5900	13239	-17088	-4569	-8500	7216	12412	812	1709	-1689	-15792	4928	16	8681	2608	1680	-14228	524	132	7709	10450	5179	131	95	1
-5012	-9684	9516	-9684	-17650	-32768	-11848	-28	332	17699	-23053	3044	-17420	-4256	-6888	17732	-17401	-5249	-8656	7348	12396	923	763	-2246	-14868	4572	300	8581	3073	1601	-14904	1336	284	6279	8474	4546	127	118	1
-4448	-6588	9260	-13686	-18556	-31816	-11208	1208	-1048	14950	-27726	4476	-16012	-3560	-8356	21764	-16871	-5054	-8668	7320	12360	703	334	-2314	-15636	5300	388	7452	3832	1802	-14792	3160	-120	3930	8568	3433	123	111	1
-7444	-10004	12156	-15892	-19573	-31764	-12580	1432	-2528	10269	-31758	7404	-12472	-2404	-9680	25220	-16148	-3659	-8524	6672	12532	327	328	-2532	-15652	3944	-224	4324	4494	1265	-18172	7476	944	2904	7931	3513	127	122	1
-9472	-11104	14512	-15793	-20514	-32768	-13800	160	-3608	7188	-32768	10313	-12376	-2844	-9852	25707	-15747	-3289	-8524	7024	12596	-160	791	-2662	-16520	3804	-632	3725	5238	1169	-19416	8580	-1420	1512	4888	2500	127	120	1
-12320	-11876	14820	-16068	-20834	-32768	-15268	-696	-4468	6865	-32768	11788	-8928	572	-10492	23493	-9557	-2087	-8480	7052	12680	-126	1218	-2881	-16496	3656	-1076	2545	5842	1036	-17208	3204	-1864	-1370	4276	3278	130	125	1
-14740	-13820	16004	-15928	-20481	-32768	-18360	-2300	-4196	6114	-32768	12028	-7344	2984	-10680	17256	-5275	-2297	-8620	6452	12792	-59	2087	-2860	-16272	2404	-2032	2520	6351	1197	-15472	-1596	-464	293	5667	3476	135	120	1
-16836	-15312	18300	-16916	-18941	-32768	-25052	-2508	-3492	4479	-32768	12066	-7264	3856	-11632	5401	-3092	15	-8688	6136	12968	421	2654	-2512	-15908	2500	-2128	2062	6955	1281	-15132	-1504	-1296	1946	6556	2812	134	124	1
-25824	-20224	23924	-18819	-17726	-32768	-30500	-5596	-6676	5728	-32768	9330	-6804	5568	-11060	-3678	1339	-806	-8560	5916	13064	777	3521	-2451	-15992	2092	-1660	1483	7742	1481	-15084	164	-1484	2576	6598	2046	129	128	1
-32768	-21612	26216	-18871	-18339	-32768	-32768	-8448	-9996	8700	-32768	9479	-7136	6540	-6472	-3042	1939	-1747	-8696	6320	12960	1658	4721	-2745	-16772	2448	-1596	1834	8666	1859	-18204	1584	56	2867	6006	1906	127	127	1
-32768	-7284	22580	-18381	-14672	-32768	-30824	-3592	-10916	15907	-32768	8331	-11276	720	4496	581	-2576	-3122	-8836	6552	12900	1667	4699	-2751	-17072	3096	-1584	1995	9570	2311	-17500	844	960	2716	6009	1913	120	122	1
-32768	6288	28536	-21614	-10312	-32768	-30020	-3672	-16072	922	-32768	9898	-21640	400	15164	9114	-10702	-5526	-9152	6456	13328	269	8264	-4076	-16652	2168	-1884	2554	10904	2713	-17032	-316	1652	3300	6444	2022	117	119	1
-32768	16064	17404	-6944	-10166	-25616	-24152	-8164	-20844	2823	-26874	6851	-23868	-372	27528	13240	-13262	-7648	-9424	6668	13424	-75	10575	-4102	-17868	2568	-2328	226	12386	2738	-16580	-84	200	3897	6102	1881	125	116	1
-32768	21744	15024	-4915	-9718	-23373	-24068	-6876	-21628	2373	-24998	6025	-17128	7208	29512	9127	-3674	-6376	-9932	6064	13708	-441	13220	-4454	-18116	2056	-2952	-480	13780	2958	-17720	2492	464	4741	6597	677	123	116	1
-32768	32767	-5252	-5386	1824	2659	-9924	-8536	-27264	8149	5323	-6677	-15324	10196	23756	5416	12531	-4156	-10396	7056	13420	-707	16572	-5065	-19100	3324	-2876	-1293	15064	2893	-18656	5188	-196	4311	6588	-77	134	122	1
-32768	14260	3040	10568	14599	5562	-14056	-6408	-22856	11146	18796	-8282	-19896	7692	10852	12135	5193	5866	-11344	8380	12928	-1126	19777	-7063	-20084	4056	-2096	-247	16122	3401	-19412	3576	172	3944	5738	-720	131	122	1
-28072	-5492	14936	23531	24613	3344	-21324	1692	-4560	12879	24936	-12089	-10540	-420	-4324	-2510	6063	5069	-11388	7996	12552	-616	23323	-10243	-20496	2600	-1816	2669	17011	4155	-19752	1996	2944	6039	5523	-563	125	124	1
32767	-32768	32767	23847	22744	5496	-32768	32767	32767	32315	5567	-8404	-5100	1068	-8172	10193	14117	-2697	-12432	8184	13692	377	28656	-13524	-23620	2604	-788	5887	17827	3529	-20872	1144	3584	7340	4854	-800	120	121	1
-32768	18432	16900	8206	17095	22502	-15584	-13328	-22312	28783	-3771	-4795	-29612	-10788	-12036	9995	17728	-7237	-12360	10376	12360	3128	32767	-19512	-29012	-2856	-884	8251	17678	4110	-24444	-2880	9528	11732	-1952	-1969	118	124	1
-24676	-32768	32767	31773	21472	2656	-27676	1476	9308	7599	12543	-15298	-31320	8012	8060	32767	-16836	2941	-11788	7324	14624	9605	32767	-23843	-29608	-8000	7872	25066	18933	2267	-25344	-5816	8780	16310	-9524	-7066	106	124	1
-23968	-4720	17268	9038	6918	1559	-22040	-16536	-4628	12175	12201	-8048	-18896	23220	12336	7927	16330	-14604	-25700	15348	12492	2507	32767	-30828	-24304	5412	2156	21372	19155	2638	-19052	-12416	7276	3239	-11654	-10299	114	131	1
-15344	-9244	15216	7888	8151	-737	-15352	84	136	3236	12260	-10485	1868	-5140	-8688	-28602	28696	-15549	-32768	6708	16776	7643	32767	-32086	-21016	13368	-4488	5064	23308	4610	-19452	-628	3148	15799	-15152	-6301	129	136	1
-8256	-8496	14704	4447	1729	344	-15568	68	1556	3682	8333	-7719	-7868	-16076	-20588	-16789	7036	-1140	-24776	14536	19612	14901	30034	-32533	-23972	8128	-232	1203	22196	2120	-26556	12512	-6156	27951	-16480	-4337	125	145	1
-8504	-7848	13244	3654	377	998	-17536	-600	88	-6085	7966	-5864	-24212	-12452	-2456	13922	791	-3486	-21072	21984	14528	12612	18315	-32768	-19824	9532	-1716	-7888	16821	2939	-25956	7656	-15164	19483	-16767	853	130	138	1
-7408	-6552	13952	2735	408	479	-18060	-1544	464	-7878	7476	-5683	-16204	-4828	172	9490	10775	-5374	-20340	17512	13408	1172	15842	-32768	-14140	8264	-10208	-11934	12600	2772	-23544	4948	-12812	5455	-23385	3345	116	126	1
-6884	-8064	12704	1143	726	-92	-17728	-3564	1480	-2838	6183	-4100	-15080	3268	-2528	-4110	15152	-4264	-21952	31724	18992	2073	-10238	-12315	-12828	6096	-12852	3328	7938	-190	-22748	4356	-10312	-4068	-26674	3536	118	126	1
-6108	-8364	12172	612	1121	-474	-16876	-1856	2140	4020	4440	-4120	-13932	-732	-3260	-3981	12919	-5282	-12008	23268	12212	-6768	-25046	3341	-8184	4224	-4476	14142	1592	271	-21772	348	-7068	-7696	-25768	1670	137	118	1
-6248	-7108	12636	58	1410	-599	-17100	1100	2724	511	3869	-3626	-17076	-2676	-2588	-4542	10346	-2525	-3392	8984	6004	-7065	-31807	8667	-5344	4440	-2288	11705	-3822	430	-19056	-920	-6704	-7161	-23486	1144	138	114	1
-6644	-8492	12140	643	1702	222	-16740	132	3088	-8911	4153	-2786	-17656	-584	52	-9508	11893	-3825	172	4184	3636	903	-32485	9650	-5696	4004	-1436	4772	-9796	-973	-14228	-260	-6124	-5141	-19696	800	126	114	1
-6368	-8916	11848	622	1642	976	-16772	-1628	4012	-14547	4219	-1967	-14344	-472	12	-14460	14794	-5330	-748	5100	4252	9463	-31128	10211	-6632	2400	-2252	1489	-15410	-2068	-14760	1812	-5596	-4787	-16731	584	123	113	1
-6400	-7120	12664	797	1493	1544	-16404	-2336	3100	-12504	4060	-1703	-15092	-244	-828	-14339	12486	-5015	-4468	10424	5712	11911	-31394	12341	-6980	2640	-2828	3310	-20367	-2825	-14064	1512	-6304	-4833	-14894	-524	124	127	1
-6540	-7704	12484	-52	1833	1139	-16184	-1504	4020	-4384	4190	-2239	-15344	1432	2840	-9328	9710	-5434	-6468	11472	6236	9067	-32618	15961	-8444	2724	-3208	2548	-24696	-2563	-13792	2312	-6268	-8562	-14154	-856	122	136	1
-6764	-7684	12116	22	1529	1592	-14776	-412	4568	-5722	5266	-2055	-16636	1564	4444	-4073	6316	-7444	-6248	7884	6308	9951	-30091	20597	-10108	1728	-4428	-935	-28014	-2649	-10820	3368	-6768	-12850	-13453	84	123	94	1
-7100	-8416	11824	549	925	2206	-14992	-2284	3864	-6964	6391	-2759	-17712	-3432	3288	-6313	3241	-8221	-8216	9184	8568	12286	-25540	26047	-11744	2640	-5988	-5697	-31223	-3889	-10736	3168	-7896	-17912	-12355	690	127	123	1
-6900	-7660	12144	1347	604	2877	-15184	-2416	3836	-6546	6500	-2845	-17092	-6784	1768	-6047	2922	-5944	-13048	10244	12144	11258	-23236	30328	-12496	3692	-7300	-9417	-32768	-4316	-10272	1980	-8404	-19484	-11236	864	127	120	1
-7112	-7776	12060	1772	626	3344	-15876	-1696	2480	-3477	8238	-2905	-17064	-5248	1088	-1423	4187	-3814	-15844	9848	14480	8787	-23898	32767	-13680	3988	-8124	-12662	-32768	-5259	-9896	428	-7968	-15334	-9427	369	122	122	1
-7056	-7520	12164	1117	592	3562	-16856	-1792	1632	-1272	8628	-3304	-15884	-2888	-208	-786	4402	-3224	-17060	8616	17084	8674	-23998	32767	-16640	3192	-8504	-13630	-32768	-7011	-10036	-1248	-7140	-8254	-6706	-216	122	126	1
-7136	-7252	12396	367	744	3455	-16704	-1712	976	-667	9104	-3746	-14560	-1604	-1252	-246	4936	-2646	-20036	11348	19836	9738	-24392	32767	-20604	4724	-9500	-13293	-32768	-8851	-9892	-2088	-7064	27	-2140	-305	123	129	1
-6828	-7428	12668	-268	790	3692	-16580	-2280	84	-797	9486	-3966	-14876	-1276	-2192	-489	5124	-2313	-24484	15312	21944	7547	-22786	32767	-25580	6544	-10680	-13994	-32768	-10818	-9404	-2204	-5936	5820	3928	1269	123	126	1
-7320	-7340	12256	-658	1140	4375	-17300	-2228	-288	-1179	9613	-3990	-15456	-3216	-2088	-1163	5638	-2077	-32768	14764	22908	5224	-22550	32767	-26964	6376	-14036	-18573	-32768	-11417	-9660	1300	-144	6969	6225	4289	118	124	1
-7220	-7092	12652	-1169	1852	5389	-17616	-2048	-356	-2092	9898	-4009	-16700	-2948	-1400	-2057	6209	-2381	-32768	364	19824	10904	-20430	32767	-27400	7168	-13628	945	-32768	-12144	-14692	3616	7152	-3452	-719	6956	112	125	1
-7116	-6492	13088	-2336	2718	5517	-17148	-1440	-208	-3094	10568	-3763	-15896	-920	516	-3075	6133	-2408	-32768	-4856	9064	10532	-20271	24676	-24024	12104	-17120	-4396	-32768	-6320	-21416	1372	11592	-3957	-4178	8995	127	119	1
-7284	-8816	11992	504	7854	6178	-17372	-1708	492	-2913	11750	-3899	-16144	1960	2864	-4079	5697	-2171	-32768	-19204	-4448	11277	-17206	11074	-16384	6752	-22040	5825	-22728	-1064	-23680	-1052	25644	-10220	-4099	6225	133	115	1
-8392	-7144	13156	-1374	9710	7117	-17812	-1868	640	-2847	11860	-4169	-16884	-24	4256	-4567	5340	-1675	-32768	-30308	-14476	22159	-10733	106	-3640	9856	-24596	13240	-6173	4863	-19068	-15192	30236	-2747	7056	3724	126	118	1
