#Activity	cycling 
#ActivityID	9 
#Date 10-10-13-13
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8808	-2156	12692	46	157	-207	-15912	-1252	-2924	149	-40	-56	-16360	1268	-464	194	-170	191	-9000	4208	13332	135	-112	-154	-15780	2596	-5288	42	56	180	-16332	-368	-1476	121	31	-18	126	118	9
-8912	-2136	12792	25	130	-240	-15872	-1176	-3176	122	9	-52	-16268	1360	-824	139	-179	192	-8952	4144	13388	149	-92	-149	-15764	2848	-5068	171	-3	208	-16280	-396	-1384	195	30	25	127	121	9
-8748	-2016	12708	-42	122	-244	-15972	-1208	-3164	121	-26	-39	-16252	1380	-764	111	-169	181	-8892	4212	13416	131	-89	-148	-15820	2760	-5220	-23	40	142	-16320	-460	-1252	185	41	42	131	122	9
-8780	-2108	12728	17	128	-224	-15952	-1528	-3172	37	-34	-20	-16328	1364	-852	142	-159	245	-8904	4136	13356	135	-67	-99	-15824	2596	-5080	224	9	200	-16376	-248	-1264	320	18	-21	123	132	9
-8844	-2128	12616	-50	123	-238	-16028	-1288	-3128	83	-51	-71	-16348	1396	-640	86	-214	182	-8996	4216	13300	176	-74	-118	-15704	2920	-5080	200	-14	207	-16256	-176	-1208	304	-24	20	121	126	9
-8836	-2224	12780	-35	148	-191	-15904	-1228	-3048	54	-19	-60	-16300	1292	-700	18	-207	189	-8952	4292	13392	124	-85	-145	-15792	2780	-5064	73	20	143	-16352	-188	-1248	261	-21	26	131	129	9
-8852	-2068	12744	-48	120	-203	-15880	-1212	-3000	24	-61	-89	-16388	1348	-748	29	-219	204	-8932	4124	13336	126	-91	-162	-15748	2792	-5100	90	19	191	-16280	-372	-1508	206	-55	74	130	126	9
-8836	-2124	12660	-42	155	-256	-15912	-1304	-3016	-19	-61	-129	-16248	1316	-860	37	-223	167	-8984	4096	13320	157	-78	-151	-15776	2788	-5348	74	-53	189	-16276	-460	-1272	195	41	64	129	126	9
-8860	-2104	12572	-62	148	-257	-15904	-1344	-3216	32	-81	-37	-16344	1308	-836	23	-164	210	-8896	4092	13384	149	-83	-125	-15820	2672	-5192	279	-102	189	-16364	-300	-1108	353	42	-54	130	126	9
-8904	-2112	12692	-56	139	-226	-15836	-1304	-3260	-67	-67	-39	-16300	1336	-812	65	-136	204	-8904	4224	13452	193	-35	-105	-15748	2836	-4980	194	-44	210	-16308	-80	-1156	353	-11	-46	131	127	9
-8876	-2172	12716	-54	155	-238	-15940	-1272	-3028	-51	-70	-18	-16392	1180	-656	94	-182	213	-8916	4288	13320	139	-84	-136	-15688	2888	-4872	-126	123	123	-16284	40	-1100	108	-85	57	123	123	9
-8792	-2092	12736	-66	155	-182	-15940	-1268	-3132	44	-77	-21	-16304	1208	-720	122	-198	238	-8928	4164	13332	110	-83	-124	-15788	2824	-5364	-337	132	121	-16212	-448	-1428	-55	-114	107	128	130	9
-8756	-2132	12736	-33	168	-237	-15848	-1296	-3044	98	-31	-28	-16252	1312	-708	96	-186	154	-8976	4148	13344	125	-93	-100	-15796	2612	-5308	62	-29	151	-16272	-440	-1348	47	68	-24	122	129	9
-8916	-2164	12676	-13	117	-213	-15932	-1256	-3136	55	-72	-41	-16320	1344	-740	110	-187	186	-8912	4232	13384	144	-89	-124	-15760	2764	-5176	256	-47	173	-16248	-320	-1104	113	68	-3	132	127	9
-8896	-2060	12660	-59	135	-214	-15876	-1244	-3096	56	-44	-10	-16316	1244	-544	3	-170	207	-8964	4192	13352	162	-91	-135	-15732	2828	-4944	-51	29	144	-16324	-248	-972	224	-20	61	125	123	9
-8764	-2132	12684	-48	147	-237	-15932	-1160	-3004	12	-61	15	-16356	1348	-620	54	-179	216	-8912	4240	13336	184	-44	-143	-15752	2688	-5052	-108	59	187	-16208	-204	-1212	223	-88	4	132	133	9
-8824	-2092	12696	-68	170	-214	-15936	-1240	-3256	-82	-126	-70	-16368	1420	-740	30	-227	207	-9028	4152	13252	164	-46	-126	-15748	2828	-4988	10	85	144	-16228	-452	-1116	153	-228	119	124	128	9
-8848	-2144	12680	-56	175	-270	-15944	-1544	-3220	-167	-124	-12	-16236	1412	-888	-22	-199	202	-9000	4160	13352	119	-107	-136	-15656	2896	-5280	-57	12	156	-16328	-248	-1496	323	-169	123	129	119	9
-8860	-2112	12668	-99	173	-273	-15904	-1376	-3136	-104	-117	-10	-16264	1156	-716	-27	-128	206	-8904	4164	13352	121	-87	-106	-15948	2632	-5292	258	-123	194	-16396	-336	-1252	286	48	-41	124	129	9
-8900	-2164	12620	-38	156	-263	-15972	-1340	-2912	-49	-100	6	-16328	1260	-616	81	-168	206	-8944	4112	13384	158	-67	-94	-15756	2748	-4980	257	-72	201	-16288	-108	-968	327	-10	-48	127	128	9
-8848	-2080	12596	18	131	-229	-15880	-1260	-3084	82	-44	-54	-16316	1220	-400	64	-218	147	-8964	4220	13360	152	-143	-122	-15760	2868	-4792	-96	21	194	-16244	8	-840	194	-60	4	124	119	9
-8784	-2084	12572	-42	157	-248	-15820	-1072	-2944	-81	-56	-55	-16288	1348	-572	24	-210	207	-8968	4236	13272	171	-75	-128	-15732	2860	-4924	-214	178	128	-16284	28	-952	165	-178	97	132	120	9
-8804	-2100	12684	-80	177	-252	-16016	-1252	-3172	-172	-23	-28	-16376	1372	-724	-5	-198	231	-8908	4044	13360	89	-109	-174	-15708	2876	-5196	-212	219	147	-16232	-432	-1576	74	-146	167	125	125	9
-8820	-2136	12736	-61	166	-246	-15864	-1388	-2996	-176	-65	-29	-16404	1376	-944	49	-255	159	-8936	4076	13332	136	-115	-117	-15740	2832	-5576	-75	-30	164	-16284	-728	-1692	72	39	72	131	125	9
-8944	-2116	12752	-57	138	-221	-15928	-1472	-3380	-13	-105	-25	-16244	1444	-944	-8	-213	206	-8988	4136	13328	143	-69	-102	-15836	2644	-5332	387	-219	215	-16332	-448	-1440	328	49	-63	128	126	9
-8896	-2116	12760	-49	147	-187	-15928	-1236	-2976	58	-145	-43	-16328	1160	-668	-98	-130	185	-8916	4184	13408	192	-108	-92	-15752	2828	-4912	379	-185	257	-16304	-112	-912	417	6	-59	126	129	9
-8780	-2068	12692	-21	150	-186	-15872	-1064	-2956	9	-117	-45	-16344	1160	-284	-12	-144	245	-8868	4224	13344	198	-50	-121	-15676	2792	-4696	-6	-13	190	-16352	-60	-1192	288	-96	27	123	120	9
-8812	-2144	12740	-69	204	-217	-16020	-1140	-2944	15	-79	-40	-16428	1304	-640	180	-231	146	-9028	4216	13344	171	-69	-131	-15692	3056	-5172	-362	78	128	-16216	-428	-1564	86	-45	105	129	122	9
-8876	-2124	12636	-67	202	-204	-16000	-1136	-2936	-24	-59	-16	-16200	1436	-932	179	-201	188	-9024	4144	13256	162	-150	-118	-15788	2700	-5584	-18	-90	150	-16212	-616	-1592	214	45	85	129	127	9
-8832	-2076	12612	-47	145	-248	-15856	-1456	-3276	-92	-131	-21	-16144	1320	-876	74	-148	207	-8992	4236	13432	158	-124	-148	-15800	2612	-5228	700	-250	223	-16260	-104	-1236	505	68	-118	130	128	9
-8852	-2128	12668	-46	128	-228	-15912	-1388	-3044	38	-126	15	-16396	1212	-704	116	-142	252	-8900	4208	13320	136	-79	-97	-15776	2972	-4868	408	-154	264	-16348	132	-868	290	-17	-33	131	134	9
-8852	-2196	12716	-30	128	-215	-15892	-1104	-3000	209	-95	-34	-16464	1340	-312	138	-184	146	-8864	4220	13344	171	-60	-128	-15688	2944	-4832	-211	50	144	-16292	-8	-1208	56	-139	81	127	125	9
-8800	-2044	12696	-68	150	-243	-15952	-1092	-2912	211	-94	-26	-16312	1504	-592	60	-250	123	-8968	4228	13272	132	-142	-109	-15632	2816	-5120	-342	99	81	-16124	-316	-1388	61	-147	62	129	125	9
-8832	-2036	12648	-82	146	-236	-15876	-1268	-3232	-97	-65	-94	-16232	1600	-672	-138	-249	121	-9020	4180	13276	103	-64	-91	-15868	2800	-5252	-5	-19	121	-16240	-180	-1400	170	-104	27	126	128	9
