#Activity	walking 
#ActivityID	1 
#Date 10-10-18-13
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10932	-5472	10912	37	789	-458	-18416	-9208	-3516	-11543	4924	-1374	-16752	632	-5948	1050	8610	2005	-10504	1972	17032	211	32767	-13205	-24716	-1904	-2160	11847	16447	-6155	-17432	-2976	6972	4172	-16140	-451	121	119	1
-10732	-4744	10884	605	380	47	-16468	-5776	-2672	615	4132	284	-14676	656	-4260	458	10267	-1476	-14220	3580	15480	-2826	32767	-15121	-21152	2244	360	10567	16495	-7124	-17004	-3532	7148	3412	-15494	-1448	122	131	1
-10120	-3472	11272	908	-431	478	-14812	552	-1132	1976	3663	-452	-14616	-1264	-3652	-1522	10228	-275	-17428	4892	12116	-144	32767	-14265	-17892	1808	-5676	7412	15275	-7409	-18680	5272	-3960	2522	-14762	2081	122	131	1
-10184	-4024	11480	798	-944	864	-14348	248	256	-2717	3578	-264	-15156	-4136	-3704	-2667	10291	857	-26132	9276	16468	4238	32767	-17363	-14172	-2884	-10472	10541	13790	-5836	-20348	2692	-4748	221	-15055	1970	122	125	1
-10644	-3744	10960	762	-1365	893	-16136	-5196	324	-587	3937	-751	-16228	-3160	-3520	1269	9216	1576	-19552	4428	13324	8197	31648	-14693	-14092	-2556	-12640	9742	13732	-3786	-17824	1228	-4500	-873	-15604	822	123	127	1
-9244	-5264	11768	498	-1113	1221	-16000	-5436	2100	5733	3782	-63	-16116	-2920	-3940	2853	7441	2563	-15956	2788	11416	22216	25112	-10116	-14196	-5548	-11036	11200	11892	-3055	-19628	1704	-3724	-3031	-14816	737	119	128	1
-10844	-3892	11416	563	-893	1819	-16264	-4352	-464	10230	4402	556	-17244	-3872	-3180	3295	5672	2152	-21860	23364	16440	21845	11673	-8359	-13660	-5444	-12828	14019	8039	-3	-21140	-452	-5140	-4245	-15272	583	118	123	1
-10360	-4316	11312	1050	-1377	2002	-14780	-240	1328	5447	5131	87	-16428	-3880	-2460	2208	4829	2608	-6816	23948	18664	260	-6510	-3231	-12504	-1504	-8600	18267	3183	-134	-20688	-1828	-3724	-2365	-17039	1347	116	132	1
-11264	-3772	11148	1400	-1412	2142	-17448	-4180	968	1331	5543	527	-17256	-2192	-1572	1018	3762	1500	2896	7592	13768	-5283	-11412	-4236	-11424	2348	-2960	16815	-2023	4195	-21032	1276	-2812	1422	-17554	4562	117	133	1
-10568	-3696	11624	1509	-1100	1976	-14328	-3704	1060	2351	6437	759	-18244	-820	-1100	530	2201	956	3620	3676	12836	5817	-11373	167	-8064	2940	-4688	3364	-5601	7776	-18000	3436	-3164	3186	-15627	4278	116	125	1
-10288	-3348	11976	1436	-619	1780	-17268	-1584	680	1636	7401	861	-16140	72	-1936	-1189	2382	230	-192	13008	14052	8815	-13541	5415	-8748	-1880	-5696	-6966	-8834	10511	-16384	832	-4112	3529	-12954	3285	118	131	1
-10304	-3108	11932	1341	-168	1511	-15664	-1248	-1320	615	7979	1184	-15600	-564	-3104	-2633	1981	67	-2940	14328	14700	2316	-17326	10572	-9960	-4528	-5648	-7617	-14327	13953	-14180	96	-4424	4062	-12184	3210	121	133	1
-10376	-3260	11692	1393	22	1378	-15308	-1164	-1272	437	8018	1143	-14572	-1936	-5316	-1284	1471	314	-4564	7584	15712	1023	-20383	16705	-9908	-5800	-5548	-5149	-19690	15122	-11928	1744	-3564	3543	-10518	2807	123	137	1
-10224	-3052	11468	1715	-144	1562	-14896	-2340	-4472	1776	8255	868	-13320	-2136	-6420	-998	1335	796	-7676	4852	16596	3740	-22955	20289	-10480	-4440	-4748	-4409	-22706	16272	-10864	2488	-2664	1259	-7913	1345	121	142	1
-10336	-2912	11432	1858	-272	1508	-14292	-1664	-6028	896	7759	991	-12872	-1724	-7772	-345	2593	1436	-12108	3288	17740	4248	-25747	20247	-10840	-4868	-4452	-6476	-26000	17420	-9304	756	-2328	-2622	-5944	-812	121	146	1
-10472	-2684	11208	1852	-480	1324	-14724	-1096	-7392	-331	6785	909	-12472	-708	-9124	-91	3923	2084	-14932	792	18200	5192	-27770	19151	-12496	-4292	-4476	-8711	-28264	17997	-9148	-604	-2124	-5775	-4813	-1740	124	148	1
-10276	-2140	11420	1729	-849	1189	-14936	-424	-8560	-1574	5522	800	-12000	508	-10308	792	5649	2189	-17564	3440	17980	5247	-28967	17618	-15324	-4860	-4484	-9775	-29901	17763	-8644	-1464	-1680	-6274	-4462	-1707	122	138	1
